It took 23.9388029575 seconds to calculate the Mandelbrot graph.
It took 0.235138893127 seconds to dump the image.
         558867 function calls (553552 primitive calls) in 24.738 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     72/4    0.001    0.000    0.005    0.001 pyparsing.py:1829(_parseCache)
      126    0.001    0.000    0.005    0.000 markers.py:253(set_marker)
       14    0.000    0.000    0.005    0.000 axis.py:494(_get_gridline)
        1    0.002    0.002    0.005    0.005 offsetbox.py:15(<module>)
     4588    0.005    0.000    0.005    0.000 __init__.py:933(__getitem__)
     3619    0.004    0.000    0.005    0.000 sre_parse.py:142(__getitem__)
       14    0.000    0.000    0.005    0.000 axis.py:618(_get_gridline)
        2    0.001    0.000    0.005    0.002 _version.py:7(<module>)
     56/9    0.000    0.000    0.005    0.001 pyparsing.py:3881(leaveWhitespace)
       16    0.000    0.000    0.005    0.000 rcsetup.py:722(cycler)
      116    0.001    0.000    0.005    0.000 sre_compile.py:433(_compile_info)
        1    0.001    0.001    0.005    0.005 _datasource.py:35(<module>)
        2    0.000    0.000    0.004    0.002 axis.py:927(set_clip_path)
       28    0.004    0.000    0.004    0.000 {_io.open}
       25    0.000    0.000    0.004    0.000 traceback.py:281(extract_stack)
      776    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.002    0.002    0.004    0.004 defmatrix.py:1(<module>)
        1    0.001    0.001    0.004    0.004 core.py:21(<module>)
        2    0.000    0.000    0.004    0.002 __init__.py:294(loads)
        2    0.000    0.000    0.004    0.002 decoder.py:359(decode)
        2    0.003    0.002    0.004    0.002 decoder.py:370(raw_decode)
   114/56    0.000    0.000    0.004    0.000 pyparsing.py:3952(copy)
       54    0.001    0.000    0.004    0.000 __init__.py:1026(_open_file_or_url)
      158    0.000    0.000    0.004    0.000 docstring.py:94(dedent)
       14    0.000    0.000    0.004    0.000 axis.py:468(_get_tick1line)
      394    0.004    0.000    0.004    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:10(<module>)
